sentence1	sentence2	sem	syn	morph	lex
Lionel Richie is dancing on the ceiling.	Lionel Ritchie dances while standing on the ceiling.	4	0.933333333	0.957052275	0.555555556
A man is playing a piano.	A person is playing the piano.	4.4	1	0.966560435	0.714285714
A woman is playing flute.	A woman plays on a flute.	4.6	0.909090909	0.958790542	0.571428571
A boy is checking a calender.	A boy is looking at a calendar.	3.8	0.923076923	0.949624275	0.625
A woman is cutting an onion.	A woman is chopping onions.	4.8	0.909090909	0.975280882	0.56432115
A man is playing guitar.	A man plays a guitar.	4.857	0.8	0.979582122	0.666666667
A woman is using a sewing machine.	A woman is sewing on a machine.	5	1	0.979897353	0.875
A woman is flipping pancakes.	A cartoon chef is flipping pancakes.	2.533	0.909090909	0.975565313	0.714285714
A man is running on the road.	A car is driving down the road.	1	0.857142857	0.935574904	0.625
A man is riding on a horse.	A man is talking on a phone.	1	1	0.975991773	0.75
A man is riding a bike.	A man is riding on a horse.	2	0.923076923	0.97797838	0.75
A woman is dancing.	A man is eating.	0.143	1	0.964917946	0.6
A man is playing a piano.	A man is playing a flute.	2	1	0.992167045	0.857142857
A man is playing a flute.	A man is playing a piano.	1.6	1	0.992167045	0.857142857
A man is spinning.	A man is dancing.	1.6	1	0.982750023	0.8
A monkey is swinging from limb to limb.	A monkey is swinging from tree to tree.	3.4	1	0.979146892	0.777777778
The people got off the train.	The people got off the train at the station.	4	0.8	0.974890003	0.7
A dog is jumping on a trampoline.	A dog bounces on a trampoline.	4.8	0.923076923	0.990054888	0.7430382
A boy is playing an instrument.	A man is playing a trumpet.	2.5	1	0.981762448	0.571428571
A woman plays the guitar.	A man sings and plays the guitar.	1.75	0.833333333	0.972726673	0.625
A woman is picking a can.	A woman is slicing a tomato.	1	1	0.969640482	0.714285714
A man is climbing a rope.	A man climbs up a rope.	5	1	0.96665869	0.714285714
A man is lifting a car.	A man is climbing a wall.	1.4	1	0.969047857	0.714285714
A man and woman are driving down the street in a jeep.	A man and woman are driving down the road in an open air vehicle.	4	0.923076923	0.985837313	0.666666667
The shirtless man sat in a chair.	A shirtless man is sitting on a chair.	3.8	0.933333333	0.943318505	0.555555556
Two women are wrestling.	Two women are wrestling on the floor.	4	0.727272727	0.932904371	0.625
The puppy played with a blue tennis ball.	A puppy is playing with a tennis ball.	4	0.875	0.970952601	0.666666667
A kangroo is eating something.	A kangaroo is eating.	4.8	0.888888889	0.978341178	0.654984602
A cat is playing a piano.	A man is playing a guitar.	0.6	1	0.975835977	0.714285714
The man cut some carpet with a knife.	A man is cutting carpet with a knife.	4.75	0.875	0.962631932	0.666666667
A woman is riding a motorized scooter down a road.	A man is riding a motor scooter.	2.2	0.823529412	0.969271752	0.515466959
someone is slicing a vegetable.	Someone is slicing a tomato.	3	1	0.98511069	0.666666667
A woman is dancing.	A man is talking.	0	1	0.958983999	0.6
A dog licks up a baby's drool.	A dog licks a baby.	2.2	0.769230769	0.968165267	0.60653066
A man is rowing a boat.	A man is slicing a tomato.	0.4	1	0.968012352	0.714285714
A man cuts up potatos.	A man slices potatoes.	4.8	0.888888889	0.948656329	0.491238452
A woman is chopping up garlic.	The woman is dicing garlic.	4.8	0.909090909	0.938575548	0.56432115
An animal run in circles.	A squirrel runs in circles.	3.8	1	0.966622814	0.5
A man is walking slowly across a rope bridge.	A boy is walking across a bridge.	3	0.875	0.982881837	0.681450685
A man is playing the guitar.	A man seated in a room is playing the guitar.	4	0.75	0.975282333	0.636363636
A man plays the flute.	A man is playing a flute.	5	0.909090909	0.97230457	0.571428571
A woman cracks two eggs into a glass bowl.	A woman is cracking an egg into a bowl.	3.8	0.777777778	0.953496502	0.6
A man is cutting a fish.	A man guts a fish.	3	0.909090909	0.987408493	0.705401437
Two men are packing suitcases into the trunk of a car.	The men are putting suitcases into the car's trunk.	4.4	0.952380952	0.953173247	0.664073248
A man pours oil on some tomatos.	The man poured oil on the cut tomatoes.	3.8	0.8	0.92504643	0.444444444
A man is slicing something.	A man is slicing a bun.	3	0.909090909	0.977988434	0.714285714
A man is paddling a canoe.	A man is playing a harp.	0.667	1	0.969514031	0.714285714
A man and woman are walking together through the woods.	A man and woman are walking arm in arm through a wooded area.	4	0.869565217	0.96481846	0.571428571
The woman picked up the kangaroo.	A woman picks up a baby kangaroo.	3.75	0.923076923	0.921175041	0.5
Fish are swimming.	A fish is swimming.	4.133	0.857142857	0.939558238	0.4
Two women mix something in a food processor.	Two women make something in a blender.	4	0.8	0.968220948	0.661872677
A person is surfing a large wave.	A person is surfing.	3.6	0.727272727	0.983484708	0.548811636
A man is playing a guitar.	A man is stabbing a target.	1.2	1	0.975148933	0.714285714
A man is playing a flute in a band.	A man is playing a guitar.	1.6	0.8	0.978015306	0.558376335
The man spread butter on the loaf of bread.	A man is spreading butter onto bread.	4	0.75	0.894058368	0.389400392
A person is boiling noodles.	A woman is boiling noodles in water.	4	0.833333333	0.956886708	0.625
A group of people dance on a hill.	A group of people are dancing.	3.2	0.714285714	0.959107584	0.536769495
A man is dancing outside.	A man is playing flute.	1	1	0.974402892	0.666666667
A woman is feeding a man.	A woman is mixing meat.	1	0.909090909	0.961044455	0.56432115
A man is putting a pan into an oven.	A woman is cutting an onion.	0.6	0.8	0.96272825	0.37225089
A woman is sitting at a desk.	A woman is riding a donkey.	0.4	0.923076923	0.955156331	0.6191985
Medics transport a patient on a stretcher.	A doctor rushes a patient on a stretcher.	3.4	0.933333333	0.971081625	0.666666667
A woman is playing a flute on stage.	The woman is playing the flute.	3.6	0.857142857	0.943665655	0.536769495
Two baby pandas are playing.	Two pandas are laying together.	3	0.8	0.948297405	0.666666667
A baby is laughing.	A baby is laughing and giggling.	4	0.8	0.964692258	0.714285714
A man is playing a guitar.	A boy is playing a piano.	1.2	1	0.980837126	0.714285714
A man is folding paper.	A woman is slicing a pepper.	0.6	0.909090909	0.949693631	0.428571429
Three women are dancing.	The man is dancing.	1.6	1	0.874681383	0.4
The cats are playing with each other.	Two cats are fighting each other.	2.6	0.923076923	0.937627499	0.6191985
A person is writing.	A person is writing with a pencil.	3.6	0.727272727	0.964455229	0.625
A man is running.	A man is running down a road.	3.5	0.727272727	0.961282723	0.625
The woman is rolling dough.	A woman is flouring and rolling dough.	3.765	0.833333333	0.965853499	0.625
A woman is adding spices on a meat.	Woman is adding sugar to meat.	2.75	0.857142857	0.935642356	0.429415596
A woman is adding oil on fishes.	A woman is pouring water on fish.	2.25	1	0.971798146	0.625
A young boy is holding a guitar.	A little boy is playing a guitar.	2.75	1	0.981731358	0.75
A cheetah is running.	A cheetah is running across a field.	3.8	0.727272727	0.962066568	0.625
The man is eating pizza.	A man is eating a slice of pizza.	4.8	0.769230769	0.93504779	0.555555556
An orangutan is riding a bus.	A monkey is riding on a bus.	3.6	0.923076923	0.971481264	0.625
A man and a woman talk in a diner.	A man and a woman are riding on a bicycle.	1.2	0.947368421	0.969808773	0.636363636
A man is playing a guitar.	A man is cleaning a glass door.	0.4	0.923076923	0.97444692	0.625
A girl is singing and playing a guitar.	A young man is singing while playing the guitar.	2.4	0.823529412	0.952228936	0.6
A girl is communicating with sign language.	A young girl is using sign language.	3.941	0.857142857	0.962120743	0.75
A woman is doing weight exercises.	A woman is doing her hair.	0.5	1	0.93879354	0.714285714
A man is getting inside a car.	An elderly man is getting into a red car.	3.75	0.875	0.974981002	0.6
A big green ball knocks a potato over.	A large green ball hits a potato.	4	0.933333333	0.954642098	0.661872677
A cat is playing keyboards.	A cat is playing a piano.	3	0.909090909	0.981938091	0.714285714
Two dogs swim in a pool.	Dogs are swimming in a pool.	4.2	0.833333333	0.953056958	0.571428571
The man used a chopper to chop the onion.	The man used a machine to chop up a potatoe.	2	0.947368421	0.960426247	0.636363636
A woman slices tofu.	A woman is cutting tofu.	5	0.888888889	0.977418087	0.666666667
A herd of deer are crossing the street.	A herd of caribou are crossing a road.	3	1	0.965248887	0.666666667
The person is riding the horse.	A man is riding a horse.	3.8	1	0.912001983	0.571428571
Someone is feeding a animal.	Someone is playing a piano.	0	1	0.963072197	0.666666667
Someone is slicing tortila's.	Someone is riding a horse.	0	1	0.936483408	0.5
Someone is mixing ingrediants.	Someone is sewing things.	0.25	1	0.959910204	0.6
A rooster pecks at a dead mouse.	A chicken is pecking at a dead mouse.	4	0.8	0.981148202	0.666666667
A woman holds a kangaroo.	A woman is picking up a kangaroo.	3.25	0.833333333	0.96947638	0.625
A man is playing with frogs	A cat is playing with a camera.	0.75	0.923076923	0.946181041	0.5
Two men are talking.	Two men are playing guitar.	1.5	0.888888889	0.963993699	0.666666667
A man spreads butter on a big piece of bread.	A man is smearing butter on a slice of garlic bread.	3.5	0.857142857	0.981310758	0.666666667
A man is running across a high wire.	A man is running on rope.	3	0.857142857	0.93723273	0.536769495
A man is mowing a lawn.	A woman is cutting a lemon.	0.2	1	0.965846543	0.571428571
A man is opening a door.	A man is playing a guitar.	0.8	1	0.974782998	0.714285714
A man is slicing a potato into pieces.	A man is cutting a potato.	4.2	0.857142857	0.970841253	0.644123394
The woman is cutting cooked octopus.	A woman is chopping octopus.	3.8	0.909090909	0.957750724	0.56432115
A man is punching through boards.	A dog is running through water.	0.4	1	0.950838487	0.571428571
A man is dancing.	A man is eating bread.	0.8	0.888888889	0.965910299	0.666666667
Someone is playing a piano.	A man is playing a guitar.	1.2	0.909090909	0.968528345	0.571428571
Two foxes are eating from a plate on a brick patio.	Foxes are eating from a plate.	2.8	0.705882353	0.955355618	0.419607137
A boy is playing a key-board.	A boy is playing the piano.	3.2	0.923076923	0.966435295	0.714285714
A person plays a keyboard.	Someone is playing a keyboard.	5	0.8	0.96806172	0.5
A man is shooting a gun.	A man is spitting.	0	0.8	0.966820012	0.536256037
Someone is slicing an onion.	Someoen is peeling a potato.	1	1	0.964118767	0.333333333
A man is swimming.	A woman is slicing meat.	0	0.888888889	0.943959042	0.5
A man is playing the guitar.	A man plays an acoustic guitar.	3.75	0.833333333	0.962742549	0.571428571
A woman is slicing a pumpkin.	A woman is riding an elephant.	0.4	1	0.97518655	0.571428571
A woman is dancing.	A woman is kneading dough.	0.4	0.888888889	0.942618582	0.666666667
A woman is cracking eggs into a bowl.	A woman is placing skewers onto a rack.	0.6	1	0.936686204	0.555555556
A car is moving through a road.	A car is driving down the road.	4	0.857142857	0.943420266	0.625
Someone is greasing a pan.	Smeone is laying down.	0.4	0.888888889	0.869449739	0.327492301
A man is playing guitar.	A man is draining pasta.	0.4	1	0.957390971	0.666666667
A woman is drinking vodka.	A woman is exercising.	0.4	0.888888889	0.966283373	0.654984602
A woman is cutting meat into pieces.	A woman is cutting up some meat.	4.8	1	0.92818326	0.75
A man is rinsing a steak.	A man is playing a guitar.	0.6	1	0.976376524	0.714285714
A man is selling items.	A man is cleaning the house.	0.8	0.909090909	0.944021742	0.571428571
A man is jumping a wall.	A man jumps onto a short wall.	3.2	0.769230769	0.954363107	0.625
Runners race around a track.	Runners compete in a race.	3.2	0.8	0.91231303	0.666666667
A man is kicking a soccer ball.	A man is mixing a bowl.	0.6	0.923076923	0.945675219	0.6191985
A woman is frying something.	A woman is riding a horse.	0.6	0.909090909	0.951666097	0.571428571
A cat is licking a sucker.	A woman is slicing cucumber.	0	0.909090909	0.949041789	0.423240862
A woman is dancing by a fire.	A woman is taking a bath.	1.4	0.923076923	0.956443163	0.6191985
The man is slicing a fish open.	A man is slicing a potato.	2.2	0.923076923	0.965441997	0.6191985
Butter is melting in a pan.	A man is melting butter in a pan.	3.6	0.857142857	0.988949693	0.666666667
Three boys are dancing.	Kids are dancing.	3.111	0.857142857	0.900922971	0.584100587
A woman is playing a game with a man.	A man is playing piano.	0.6	0.714285714	0.950622103	0.427847599
The man is driving a white car.	A man is giving an interview.	0.4	0.923076923	0.952751724	0.3715191
A man drove his car.	A man is driving a car.	4.25	0.909090909	0.930654278	0.571428571
A car backs out of a space.	A car is backing out of a blocked lane.	3	0.875	0.96410199	0.6
A man puts some cheese on a pizza.	The man sprinkled cheese on the pizza.	5	0.933333333	0.909514576	0.551560564
The boy is playing the piano.	A boy plays a piano.	5	0.909090909	0.912362444	0.423240862
The man played his guitar.	A man is playing a guitar.	3.75	0.909090909	0.871325051	0.428571429
A man is riding a horse.	A man is playing a keyboard.	0.2	1	0.977034059	0.714285714
A man is walking on a rope.	A man is riding a mo-pad.	0.4	1	0.970064289	0.6191985
A girl is playing a flute.	A band is playing on a stage.	1.286	0.923076923	0.967973098	0.625
People step off a train.	A group of people get off a train.	4.6	0.769230769	0.943810495	0.444444444
A woman is sewing on a machine.	A woman is breading some meat.	0.6	0.923076923	0.907362051	0.4953588
A dog is looking into swimming pool.	A dog is walking around a pool.	2	1	0.925484661	0.625
A man is buttering a piece of bread.	A man is applying butter to bread.	5	0.933333333	0.955463325	0.551560564
A man is cutting tomatoes into pieces.	A woman is cutting some vegetables.	1.8	0.923076923	0.921443172	0.4953588
Three teenage girls danced in the room.	Some teenage girls are dancing for the camera.	2.4	0.933333333	0.893413636	0.444444444
A lion is walking.	A lion is pacing in a pen.	2.4	0.727272727	0.955645644	0.5
A man shooting a car.	A man is cutting a potato.	0.4	0.727272727	0.949984247	0.571428571
A black horse is running around.	The horse is running.	4.2	0.8	0.93875689	0.536256037
A woman is deveining shrimp.	A man is dancing in rain.	0	0.909090909	0.931542517	0.428571429
A man is riding a horse.	A woman is washing a freezer.	0	1	0.96344213	0.571428571
A man walks down a path.	A man walks across a tight rope.	0.8	0.769230769	0.924929623	0.625
A man is slicing a potato.	A woman is cutting a jalepeno.	1.4	1	0.975610505	0.571428571
A dog is barking at a ball.	A dog swims after a tennis ball.	1.5	0.857142857	0.951967234	0.625
A kid runs away from a fish swinging around on a fishing pole.	A little kid is running around a fishing pole.	2.5	0.727272727	0.965270635	0.469224032
A man is walking along a path through wilderness.	A man is walking down a road.	2.5	0.875	0.931717656	0.584100587
An elderly man is speaking at a podium.	A man is making a speech at the podium.	3.5	0.823529412	0.969427636	0.6
A man riding a horse in slow motion.	A man is riding on a horse.	3.4	0.8	0.964821934	0.661872677
A person is cutting some burrata cheese.	The person is slicing cheese.	3.8	0.833333333	0.9480659	0.47768754
The man is shooting an automatic rifle.	A man is shooting a gun.	3.8	0.923076923	0.958442387	0.4953588
A man is crushing garlic with the back of a knife.	A woman is slicing meat with a knife.	1.5	0.842105263	0.965547751	0.47768754
A woman is filing her fingernails with an emery board.	A woman is feeding her baby with a bottle.	0.5	0.947368421	0.966320606	0.542902451
A man is riding a skateboard.	A woman is cutting a potato.	0	1	0.964192506	0.571428571
A woman is taking a shower.	A man is riding a white horse.	0	0.923076923	0.964305926	0.5
A  man is dancing.	A man is riding a horse.	0.8	0.8	0.969840275	0.571428571
A man is rowing a boat.	A man is shooting off a gun.	0.85	0.923076923	0.935998874	0.625
A man is swinging from a rope attached to the ceiling.	A man is swinging on a rope.	3.4	0.777777778	0.952175146	0.530714327
A woman is riding a horse on a beach.	A man is carrying another man on his back.	0.4	1	0.904843653	0.4
A man holds a small animal in one hand.	A man shows off a small monkey.	1.75	0.875	0.913706534	0.486750489
A person is folding a square paper piece.	A man is folding paper.	3.25	0.769230769	0.974287972	0.505442216
A person is frying meat in a pan.	A person is holding a skunk.	0.75	0.857142857	0.956662801	0.536769495
A chimpanzee is hurting a woman.	A man is driving a car.	0	1	0.962696766	0.571428571
The woman is peeling shrimp.	The man is holding a lemur.	0	0.909090909	0.942226104	0.428571429
Two zebras are playing.	Zebras are socializing.	4.25	0.857142857	0.925450897	0.389400392
A woman is slicing butter.	A woman slices tofu.	1.8	0.888888889	0.951260502	0.491238452
Some men are playing guitars.	Three men are playing guitars and singing together.	3.2	0.769230769	0.925411805	0.555555556
The elephants sprayed water on themselves.	Elephants spray themselves with water.	3.6	0.909090909	0.921687504	0.423240862
A dog sat at the counter of a store.	The dog is standing at the counter.	2.6	0.875	0.924812759	0.486750489
Someone drills a hole in a strip of wood with a power drill.	A man drills a hole in a piece of wood.	3.2	0.782608696	0.981341842	0.553673009
A woman is slicing some vegetables.	The woman is dicing garlic.	2.8	0.909090909	0.918848857	0.423240862
A badger is burrowing a hole.	A badger is digging the earth.	4.6	1	0.95497062	0.571428571
A woman is water skiing on a lake.	A man is playing a flute.	0	0.857142857	0.931285648	0.429415596
A girl is playing a violin.	A baby is laughing and giggling.	0.25	0.833333333	0.935825193	0.428571429
A helicopter is landing on a helipad.	A helicopter lands.	3.923	0.6	0.910950946	0.275909581
A woman is cutting up a chicken.	A woman is slicing meat.	2.75	0.833333333	0.96048186	0.47768754
A woman is cutting a cucumber.	A man is playing a guitar.	0	1	0.973064766	0.571428571
A woman rides an elephant in front of an adoring crowd.	A woman rides an elephant.	3	0.625	0.957835843	0.367879441
A puppy is sliding backwards along the floor.	A puppy is pushing itself backwards.	3.8	0.857142857	0.925624033	0.536769495
A woman splits garlic cloves.	A woman is breaking a head of garlic into cloves.	4.6	0.666666667	0.954518667	0.454545455
A dog is looking into swimming pool.	A dog is walking along the edge of a pool.	2.6	0.823529412	0.902432896	0.454545455
A woman mixes a beauty treatment in a glass.	A woman is mixing a cream in a glass with a spoon.	3.6	0.857142857	0.977294045	0.538461538
A man is drawing a picture.	A person is drawing.	3.6	0.8	0.960894075	0.536256037
A woman is picking tomatoes.	A woman is pouring batter into a bowl.	1	0.769230769	0.949399154	0.444444444
A man is looking at a computer monitor.	A man is using a laptop.	2.75	0.857142857	0.935365529	0.536769495
The boy is riding a tricycle.	A woman is riding a water scooter.	1.25	0.923076923	0.947267527	0.5
Two men compete in a tire rolling race.	Two people flipped tractor tires in a race.	2.75	0.75	0.940110897	0.555555556
A person is cutting a meat.	A person riding a mechanical bull	0	0.666666667	0.933351349	0.423240862
A man is playing a violin.	A woman is using a sewing machine.	0	0.923076923	0.94989803	0.5
The baby crawled through the doorway.	A baby is crawling across the floor.	2.4	0.923076923	0.8896842	0.375
A man is playing keyboard.	A person is playing a piano.	2.2	0.909090909	0.97075157	0.571428571
A man is smelling two pizzas.	A woman is feeding a man.	0.2	1	0.92770078	0.571428571
A monkey pulls the tail of a dog.	A monkey is teasing a dog at the zoo.	2.8	0.823529412	0.9627038	0.6
A dog lies on his back on a wooden floor.	A dog is laying on the floor.	4	0.823529412	0.969594259	0.429555799
A woman is frying something in the pan.	A man is playing his guitar.	0	0.857142857	0.898262077	0.322061697
